iter	MultiClass
0	1.095838986
1	1.092716999
2	1.089628126
3	1.087284189
4	1.08449232
5	1.081418174
6	1.078586041
7	1.07620899
8	1.073100028
9	1.070527017
10	1.06771974
11	1.06509957
12	1.062595
13	1.059827733
14	1.057087791
15	1.054385474
16	1.051984077
17	1.04973497
18	1.04722691
19	1.044225376
20	1.041932855
21	1.039870854
22	1.037714619
23	1.035591753
24	1.033543798
25	1.03178493
26	1.029466105
27	1.027254368
28	1.025003473
29	1.023522626
30	1.021313698
31	1.019441357
32	1.017267246
33	1.015376348
34	1.01347532
35	1.011561267
36	1.009691055
37	1.007698006
38	1.005708532
39	1.003928212
40	1.001815136
41	0.9996777139
42	0.9979086308
43	0.9962608518
44	0.9946096678
45	0.9930402897
46	0.9913548851
47	0.989759799
48	0.9881916126
49	0.9863413195
50	0.9846448486
51	0.9832725365
52	0.9818815819
53	0.9803463392
54	0.9790510659
55	0.9772054547
56	0.9756829808
57	0.9737933596
58	0.9721604777
59	0.9709606304
60	0.9696340308
61	0.9678131061
62	0.9664447098
63	0.9650220033
64	0.9635449014
65	0.9621251743
66	0.9609393728
67	0.9596454615
68	0.9582621682
69	0.9570260573
70	0.9557962458
71	0.9545932488
72	0.9532334502
73	0.9518043593
74	0.9505545431
75	0.9493260084
76	0.9480274153
77	0.9467587863
78	0.9456989709
79	0.9442840108
80	0.943364142
81	0.9421347561
82	0.9412630685
83	0.9401509007
84	0.9391451401
85	0.9380728111
86	0.9370035467
87	0.9355754772
88	0.9346212177
89	0.933563275
90	0.9326124205
91	0.9313337467
92	0.9299381102
93	0.9285289387
94	0.9277192226
95	0.9264336537
96	0.9255723514
97	0.9245593551
98	0.9235610004
99	0.9227263425
100	0.9218675941
101	0.9205351208
102	0.9195098664
103	0.9186175784
104	0.9177681086
105	0.9167111023
106	0.9157968518
107	0.914953426
108	0.9138713076
109	0.912825623
110	0.9118442934
111	0.9111467731
112	0.9100266035
113	0.9089636384
114	0.9080963773
115	0.9071033004
116	0.9063443193
117	0.9052153817
118	0.9041734427
119	0.9032826869
120	0.9023470699
121	0.9015091772
122	0.9002256513
123	0.8991650697
124	0.898252692
125	0.8975740696
126	0.8965819291
127	0.8956434178
128	0.8946306769
129	0.893809554
130	0.8926956836
131	0.891685837
132	0.8906746283
133	0.8899698723
134	0.8892285122
135	0.8883316274
136	0.8875026729
137	0.8867277733
138	0.8858277389
139	0.8849584348
140	0.8844256328
141	0.8836692055
142	0.8828518281
143	0.8820964223
144	0.881561407
145	0.8806484334
146	0.8797966653
147	0.8788291261
148	0.877986211
149	0.8773019703
150	0.8762474326
151	0.8752672097
152	0.8748014868
153	0.8739848755
154	0.8729811579
155	0.8721886373
156	0.8714175683
157	0.8704736941
158	0.8697525088
159	0.8689036349
160	0.8680742548
161	0.8671406808
162	0.8663159827
163	0.86561012
164	0.8648169184
165	0.8640233762
166	0.8631438571
167	0.8623663185
168	0.8615616249
169	0.8608880249
170	0.8601133807
171	0.8595146913
172	0.8588605
173	0.8581405065
174	0.8574646081
175	0.856673109
176	0.855870884
177	0.855382773
178	0.8548189001
179	0.8543816943
180	0.8536666381
181	0.8529602647
182	0.8522528698
183	0.851557733
184	0.8511032466
185	0.8506487603
186	0.8497797967
187	0.8489477777
188	0.8481646209
189	0.8474623336
190	0.8466733882
191	0.8460518
192	0.8451412951
193	0.8442442401
194	0.8436094574
195	0.8426890779
196	0.8419887484
197	0.8411737546
198	0.840275678
199	0.8394087575
200	0.8387204307
201	0.8376405256
202	0.8369338117
203	0.836258424
204	0.8355850794
205	0.835017461
206	0.8341351327
207	0.8334125003
208	0.8328033405
209	0.831817329
210	0.8313205352
211	0.8305333775
212	0.8299769956
213	0.8291757921
214	0.8284381776
215	0.827688986
216	0.8271339661
217	0.8265777545
218	0.8259239888
219	0.8251905455
220	0.8246813233
221	0.8241168545
222	0.823610782
223	0.8228221771
224	0.822328618
225	0.821579171
226	0.8210860376
227	0.820402563
228	0.819748542
229	0.8192969499
230	0.8185166022
231	0.8177949062
232	0.817166508
233	0.8167094679
234	0.8160916253
235	0.8156726364
236	0.8151778856
237	0.8144764495
238	0.8138012321
239	0.8130487205
240	0.8124426253
241	0.8120246579
242	0.8113654441
243	0.8109160653
244	0.8100967301
245	0.8094487529
246	0.808817801
247	0.8081745909
248	0.8078018252
249	0.8070227545
